timepo;voip;vod;ftp
0;0;0;5
1;0;0;4
2;0;0;3
3;0;0;1
4;0;0;3
5;0;0;4
6;0;3;3
7;0;4;2
8;0;3;3
9;0;3;2
10;0;1;2
11;0;2;4
12;0;2;2
13;0;4;4
14;0;3;3
15;0;3;4
16;0;4;5
17;0;6;3
18;0;2;4
19;0;2;2
20;0;2;0
21;0;3;5
22;0;3;2
23;0;2;6
24;0;3;2
25;0;3;2
26;0;2;2
27;0;3;4
28;0;1;4
29;0;2;3
30;0;2;4
31;0;2;4
32;0;2;1
33;0;3;1
34;0;6;1
35;0;2;1
36;0;3;0
37;0;2;2
38;0;1;0
39;0;2;1
40;0;3;0
41;0;2;1
42;0;3;1
43;0;2;1
44;0;1;1
45;0;1;2
46;0;3;0
47;0;3;0
48;0;1;0
49;0;0;0
50;0;0;2
51;0;1;0
52;0;0;0
53;0;1;0
54;0;0;2
55;0;4;1
56;0;2;2
57;0;0;2
58;0;0;0
59;0;1;2
60;0;0;2
61;0;0;0
62;0;0;2
63;0;0;0
64;0;0;0
65;0;0;1
66;0;1;1
67;0;1;0
68;0;0;1
69;0;0;1
70;0;1;2
71;0;1;0
72;0;1;0
73;0;2;1
74;0;0;0
75;0;3;0
76;0;2;0
77;0;1;2
78;0;0;0
79;0;0;0
80;0;2;1
81;0;1;1
82;0;0;0
83;0;1;0
84;0;1;1
85;0;1;0
86;0;0;1
87;0;0;2
88;0;0;0
89;0;1;1
90;0;0;0
91;0;1;1
92;0;0;0
93;0;2;1
94;0;1;1
95;0;1;0
96;0;0;0
97;0;0;2
98;0;1;0
99;0;0;1
100;0;3;1
101;0;0;1
102;0;0;1
103;0;2;1
104;0;0;1
105;0;1;2
106;0;0;1
107;0;0;2
108;0;2;1
109;0;2;0
110;0;2;0
111;0;0;1
112;0;0;1
113;0;0;0
114;0;2;4
115;0;0;1
116;0;0;0
117;0;0;1
118;0;1;0
119;0;1;2
120;0;5;1
121;0;0;0
122;0;0;0
123;0;1;1
124;0;0;0
125;0;3;0
126;0;0;0
127;0;2;0
128;0;1;0
129;0;0;0
130;0;4;1
131;0;1;2
132;0;3;1
133;0;0;0
134;0;1;0
135;0;1;1
136;0;1;1
137;0;0;1
138;0;0;0
139;0;1;0
140;0;1;0
141;0;0;0
142;0;1;1
143;0;0;0
