tiempo;voip;vod;ftp
0;15.7;15.3;15.4
5;13.4;13.4;17.8
10;15.4;19.3;15.8
15;17.1;13;14
20;18.8;18.9;19.9
25;16.5;20.5;19.9
30;14.2;14.4;19.9
35;19.9;16.1;15
40;19.9;18.1;16.7
45;19.9;19.7;18.7
50;19.9;17.4;20.5
55;19.6;15.2;10.8
60;17.4;9.2;24.4
65;15.3;19.1;10.4
70;13.1;12.9;12.5
75;15.2;14.9;12.5
80;13.1;16.7;16.6
85;18.9;14.6;14.8
90;12.5;12.3;12.8
95;18.3;14.4;6.4
100;19.9;16.1;12.3
105;17.6;18;20
110;19.3;11.6;20
115;21.1;17.2;14.1
120;11;15.1;24.2
125;16.6;8.8;18.1
130;18.5;18.6;16
135;20.3;12.5;17.6
140;14;18.4;15.7
145;19.7;16;13.5
150;17.6;18.1;11.4
155;15.7;11.7;13.2
160;13.7;13.3;7.1
165;15.3;19.3;8.8
170;17.1;17.1;14.7
175;18.9;15;16.5
180;8.7;16.9;14.5
185;8.8;14.8;20.3
190;12.1;12.5;14.3
195;14.1;18.3;16
200;16;11.9;17.9
205;17.9;13.8;20.1
210;19.6;19.6;17.9
215;17.4;17.2;14.5
220;19.2;15.4;16.3
225;8.9;17.1;15.3
230;19;11.3;16
235;12.6;13.6;12.6
240;18.6;15.5;18.2
245;16.5;17.5;12.9
250;14.6;19.3;16.1
255;12.3;12.9;26.7
260;14;18.9;20.3
265;8;16.8;14
270;18;14.6;19.9
275;15.9;16.4;13.9
280;13.9;18.6;15.9
285;19.6;16.7;13.6
290;17.4;14.9;15.9
295;15.4;16.5;13.7
300;13.2;18.4;11.4
305;18.9;16.1;17.1
310;16.6;18;11.2
315;14.5;20;13.3
320;16.3;17.9;15.2
325;18.5;15.8;17.1
330;16.3;13.5;6.9
335;14;19.5;16.9
340;11.7;13.3;14.7
345;13.3;23.3;16.4
350;19.1;17.1;13.9
355;19.2;14.8;19.5
360;14.8;20.6;17.2
365;20.7;18.5;19.1
370;18.9;12.4;8.9
375;12.6;18.1;18.9
380;10.8;19.8;12.3
385;20.6;17.6;18.2
390;18.2;15.7;20
395;16;21.4;13.9
400;13.9;7.5;15.8
405;15.9;13.3;13.6
410;17.7;19.3;19.3
415;15.7;21.1;13.3
420;17.5;18.8;18.9
425;19.5;16.6;24.7
430;17.2;18.4;14.5
435;15.3;16.1;20.1
440;13.1;14;14
445;14.8;16;19.8
450;16.6;21.8;17.6
455;10.4;15.6;15.8
460;16.1;17.4;17.6
465;18.2;11.3;15.3
470;19.8;16.9;17.1
475;13.6;14.8;14.8
480;19.6;20.6;12.6
485;13;18.5;10.9
490;19.3;16.4;20.6
495;13;14.5;18.9
500;10.7;20.3;12.4
505;16.4;14.1;18.7
510;18.1;16;12.4
515;28;13.9;18.3
520;17.8;15.8;16
525;7.8;13.5;14
530;17.5;7.4;19.8
535;19.5;17.2;13.4
540;17.3;15.2;15
545;15.3;17;16.8
550;17.2;11;10.9
555;14.8;16.8;20.8
560;20.6;18.6;18.7
565;14.5;16.2;16.9
570;20.3;18;10.6
575;18.1;16;20.4
580;23.8;13.6;22.2
585;14;15.9;11.9
590;15.9;21.9;21.3
595;13.7;15.9;7.4
600;19.4;13.4;17.1
