tiempo;voip;vod;ftp
0;7.85;7.65;7.7
5;6.7;6.7;8.9
10;7.7;9.65;7.9
15;8.55;6.5;7
20;9.4;9.45;9.95
25;8.25;10.25;9.95
30;7.1;7.2;9.95
35;9.95;8.05;7.5
40;9.95;9.05;8.35
45;9.95;9.85;9.35
50;9.95;8.7;10.25
55;9.8;7.6;5.4
60;8.7;4.6;12.2
65;7.65;9.55;5.2
70;6.55;6.45;6.25
75;7.6;7.45;6.25
80;6.55;8.35;8.3
85;9.45;7.3;7.4
90;6.25;6.15;6.4
95;9.15;7.2;3.2
100;9.95;8.05;6.15
105;8.8;9;10
110;9.65;5.8;10
115;10.55;8.6;7.05
120;5.5;7.55;12.1
125;8.3;4.4;9.05
130;9.25;9.3;8
135;10.15;6.25;8.8
140;7;9.2;7.85
145;9.85;8;6.75
150;8.8;9.05;5.7
155;7.85;5.85;6.6
160;6.85;6.65;3.55
165;7.65;9.65;4.4
170;8.55;8.55;7.35
175;9.45;7.5;8.25
180;4.35;8.45;7.25
185;4.4;7.4;10.15
190;6.05;6.25;7.15
195;7.05;9.15;8
200;8;5.95;8.95
205;8.95;6.9;10.05
210;9.8;9.8;8.95
215;8.7;8.6;7.25
220;9.6;7.7;8.15
225;4.45;8.55;7.65
230;9.5;5.65;8
235;6.3;6.8;6.3
240;9.3;7.75;9.1
245;8.25;8.75;6.45
250;7.3;9.65;8.05
255;6.15;6.45;13.35
260;7;9.45;10.15
265;4;8.4;7
270;9;7.3;9.95
275;7.95;8.2;6.95
280;6.95;9.3;7.95
285;9.8;8.35;6.8
290;8.7;7.45;7.95
295;7.7;8.25;6.85
300;6.6;9.2;5.7
305;9.45;8.05;8.55
310;8.3;9;5.6
315;7.25;10;6.65
320;8.15;8.95;7.6
325;9.25;7.9;8.55
330;8.15;6.75;3.45
335;7;9.75;8.45
340;5.85;6.65;7.35
345;6.65;11.65;8.2
350;9.55;8.55;6.95
355;9.6;7.4;9.75
360;7.4;10.3;8.6
365;10.35;9.25;9.55
370;9.45;6.2;4.45
375;6.3;9.05;9.45
380;5.4;9.9;6.15
385;10.3;8.8;9.1
390;9.1;7.85;10
395;8;10.7;6.95
400;6.95;3.75;7.9
405;7.95;6.65;6.8
410;8.85;9.65;9.65
415;7.85;10.55;6.65
420;8.75;9.4;9.45
425;9.75;8.3;12.35
430;8.6;9.2;7.25
435;7.65;8.05;10.05
440;6.55;7;7
445;7.4;8;9.9
450;8.3;10.9;8.8
455;5.2;7.8;7.9
460;8.05;8.7;8.8
465;9.1;5.65;7.65
470;9.9;8.45;8.55
475;6.8;7.4;7.4
480;9.8;10.3;6.3
485;6.5;9.25;5.45
490;9.65;8.2;10.3
495;6.5;7.25;9.45
500;5.35;10.15;6.2
505;8.2;7.05;9.35
510;9.05;8;6.2
515;14;6.95;9.15
520;8.9;7.9;8
525;3.9;6.75;7
530;8.75;3.7;9.9
535;9.75;8.6;6.7
540;8.65;7.6;7.5
545;7.65;8.5;8.4
550;8.6;5.5;5.45
555;7.4;8.4;10.4
560;10.3;9.3;9.35
565;7.25;8.1;8.45
570;10.15;9;5.3
575;9.05;8;10.2
580;11.9;6.8;11.1
585;7;7.95;5.95
590;7.95;10.95;10.65
595;6.85;7.95;3.7
600;9.7;6.7;8.55
