tiempo;voip;vod;ftp
0;0;1;0
1;0;3;8
2;0;3;4
3;0;3;1
4;0;3;0
5;0;2;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;1;1
10;0;0;1
11;0;2;0
12;0;1;1
13;0;0;0
14;0;0;0
15;0;0;0
16;0;1;0
17;0;1;0
18;0;1;1
19;0;1;0
20;0;1;1
21;0;0;0
22;0;3;1
23;0;2;2
24;0;2;1
25;0;1;0
26;0;0;0
27;0;0;0
28;0;1;0
29;0;1;1
30;0;1;2
31;0;0;4
32;0;4;0
33;0;1;0
34;0;0;0
35;0;0;0
36;0;0;0
37;0;1;1
38;0;0;1
39;0;0;2
40;0;1;2
41;0;1;0
42;0;0;0
43;0;1;0
44;0;0;0
45;0;3;1
46;0;4;2
47;1;0;1
48;0;1;2
49;0;2;0
50;0;0;2
51;0;0;0
52;0;1;2
53;0;0;0
54;0;2;1
55;0;2;0
56;0;0;1
57;0;4;0
58;0;0;1
59;0;1;0
60;0;1;2
61;0;1;1
62;0;1;0
63;0;0;0
64;0;0;0
65;0;0;1
66;1;2;3
67;0;0;0
68;2;3;2
69;2;0;1
70;0;0;1
71;0;2;0
72;0;1;0
73;0;0;0
74;0;0;2
75;0;3;1
76;0;2;2
77;0;1;1
78;0;2;0
79;0;0;1
80;0;2;1
81;0;2;2
82;0;0;0
83;0;1;1
84;0;0;0
85;0;0;2
86;0;2;0
87;0;0;0
88;0;0;1
89;0;0;0
90;0;1;0
91;0;2;2
92;0;1;1
93;0;2;0
94;0;0;0
95;0;0;2
96;0;2;2
97;0;2;5
98;0;1;0
99;0;1;0
100;1;0;0
101;0;2;0
102;0;0;1
103;0;0;0
104;1;2;0
105;0;3;2
106;1;0;0
107;0;0;2
108;0;3;0
109;0;3;1
110;0;0;0
111;0;1;0
112;0;0;2
113;0;0;0
114;0;0;3
115;0;1;1
116;0;2;0
117;0;0;0
118;0;1;0
119;0;2;1
120;0;2;1
121;0;1;1
122;0;0;1
123;0;1;1
124;0;0;0
125;0;0;4
126;0;1;2
127;0;1;2
128;0;0;0
129;0;1;1
130;0;2;2
131;0;0;0
132;0;0;0
133;0;1;0
134;0;0;2
135;0;1;1
136;0;0;0
137;0;1;0
138;0;2;0
139;0;0;1
140;0;2;1
141;0;1;3
142;0;0;3
143;0;0;1
144;0;2;2
145;0;1;3
146;0;0;4
147;0;0;2
148;0;1;1
149;0;0;1
150;0;1;1
151;0;1;0
152;0;2;1
153;0;0;1
154;0;2;1
155;0;0;1
156;0;1;0
157;0;1;1
158;0;1;0
159;0;2;0
160;0;0;0
161;0;1;1
162;0;0;0
163;0;1;0
164;0;1;0
165;0;0;1
166;0;2;0
167;0;0;0
168;0;2;2
169;0;1;0
170;0;3;1
171;0;0;0
172;0;1;0
173;0;0;2
174;0;2;0
175;0;2;0
176;0;1;1
177;0;0;0
178;0;1;1
179;0;1;0
180;0;2;0
181;0;1;4
182;0;4;0
183;0;1;2
184;0;2;0
185;0;1;0
186;0;0;1
187;0;1;1
188;0;3;2
189;0;2;2
190;0;2;3
191;0;1;0
192;0;0;0
193;0;2;1
194;0;0;1
195;0;2;0
196;0;1;1
197;0;1;0
198;0;1;0
199;0;1;1
200;0;3;2
201;0;1;2
202;0;0;0
203;0;0;1
204;0;6;1
205;0;1;0
206;0;0;0
207;0;0;1
208;0;1;1
209;0;0;1
210;0;2;0
211;0;1;0
212;0;0;1
213;0;0;1
214;0;2;0
215;0;2;0
216;0;0;0
217;0;1;0
218;0;0;0
219;0;3;0
220;0;0;1
221;0;1;0
222;0;1;2
223;0;2;1
224;0;0;2
225;0;2;0
226;0;1;2
227;0;2;0
228;0;1;0
229;0;1;1
230;0;1;2
231;0;2;0
232;0;2;0
233;0;1;0
234;0;0;0
235;0;2;1
236;0;0;0
237;0;0;0
238;0;0;0
239;0;0;2
240;0;0;2
241;0;1;1
242;0;0;1
243;0;0;1
244;0;4;4
245;0;3;2
246;0;1;0
247;0;0;1
248;0;1;0
249;0;1;0
250;0;2;0
251;0;2;2
252;0;3;0
253;0;0;0
254;0;1;1
255;0;2;0
256;0;1;0
257;0;1;0
258;0;1;1
259;0;1;1
260;0;3;1
261;0;0;0
262;1;1;0
263;0;1;1
264;0;0;0
265;0;2;1
266;0;1;2
267;1;2;0
268;0;1;0
269;0;0;2
270;0;3;0
271;0;2;0
272;0;1;0
273;0;3;0
274;0;0;0
275;0;2;1
276;0;1;1
277;0;2;2
278;0;1;3
279;0;3;1
280;0;0;1
281;0;1;1
282;0;2;0
283;0;1;1
284;0;1;2
285;0;2;1
286;0;0;1
287;0;1;1
288;0;0;0
289;0;2;1
290;1;1;0
291;0;1;2
292;0;0;2
293;0;1;1
294;0;0;0
295;0;2;2
296;0;1;3
297;0;1;0
298;0;1;0
299;0;2;0
300;0;0;2
301;0;2;1
302;0;0;0
303;0;2;0
304;0;2;0
305;0;0;2
306;0;0;0
307;0;1;1
308;0;1;1
309;0;1;1
310;0;1;0
311;1;1;0
312;0;2;1
313;0;0;2
314;0;2;1
315;0;1;1
316;0;0;0
317;0;2;0
318;0;1;1
319;0;0;1
320;0;0;1
321;0;1;1
322;0;0;0
323;0;0;1
324;0;1;0
325;0;2;0
326;0;0;0
327;0;1;1
328;0;0;0
329;0;3;1
330;0;1;1
331;0;0;0
332;1;0;0
333;0;1;0
334;0;2;0
335;0;2;2
336;0;0;0
337;0;1;0
338;0;1;0
339;0;2;0
