tiempo;voip;vod;ftp
0;0.633;12.6;0.076
5;0.961;0;5.22
10;0.891;15.3;11.3
15;1.28;17.3;12.2
20;1.26;13.3;13.8
25;1.31;18.6;15
30;0.938;0;0
35;0.902;29;0
40;0.867;17.7;5.24
45;1.44;15.1;0
50;0.914;17.9;3.26
55;1.08;19.7;3.51
60;1.09;20.5;4.39
65;1.03;18;9.88
70;0.973;6.83;0.697
75;0.867;18.3;0
80;0.902;31.7;9.52
85;1.06;16.9;10.6
90;1.22;19.4;13.3
95;1.24;16.9;14.2
100;0.797;13.2;9.2
105;0.902;15.5;6.26
110;0.949;16.7;6.94
115;1.09;14.8;8.22
120;1.06;12.7;31.7
125;1.18;17.6;13
130;1.16;11.8;6.57
135;1.02;17.8;6.01
140;0.902;7.41;8.32
145;1.04;9.02;9.56
150;1.09;3.27;11.9
155;1.15;10.3;9.68
160;1.04;9.69;7.06
165;0.867;11;6.2
170;0.879;11.3;7.04
175;0.949;17;7.13
180;1.06;10.8;9.03
185;1.12;10.8;11.6
190;1.22;10.2;11.7
195;0.703;3.23;10.5
200;1.48;6.13;8.59
205;1.12;6.02;5.81
210;0.914;7.86;3.74
215;0.891;6.55;4.32
220;1.07;6.09;0
225;1.06;4.53;3.66
230;0.973;10.7;6.13
235;1.01;11;6.97
240;0.797;10.3;3.92
245;0.633;0;3.7
250;0.551;11.7;4.55
255;0.938;7.05;3.02
260;1.28;12.8;2.52
265;1.09;9.9;0.9
270;0.938;20.7;4.16
275;1.2;8.97;4.9
280;0.902;5.62;3.86
285;1.18;9.92;6.63
290;1.21;9.52;4.1
295;1.16;7.98;5.81
300;1.06;12.7;4.61
305;1.13;14.4;6.12
310;1.07;21;6.49
315;1.08;11.7;4.51
320;0.973;12.8;7.96
325;1.04;12.9;4.55
330;1.08;26.8;4.78
335;1.12;14.2;4.69
340;0.902;11.6;16.3
345;1.46;14.9;4.99
350;1.32;12.9;5.14
355;0.727;9.07;7.32
360;1.43;12.8;4.64
365;0.973;9.96;6.05
370;0.961;16.1;6.03
375;0.961;15.8;8.91
380;1.2;16.1;7.03
385;1.01;16.7;5.57
390;1.08;14.3;4.64
395;1.14;23.4;3.48
400;0.867;16.7;6.2
405;1.03;16.8;4.7
410;0.879;13.5;3.32
415;1.14;0.461;1.75
420;1.12;16;4
425;1.12;12;6.47
430;1.07;15.3;12.2
435;0.844;14.2;8.98
440;1.02;13.1;7.72
445;0.902;24.6;8.5
450;0.926;11.1;9.5
455;1.19;11;2.78
460;0.949;8.03;12.3
465;0.574;10.1;6.63
470;0.914;13.4;8.19
475;0.973;10.1;35.6
480;0.914;12.9;43.9
485;1.11;6.83;6.59
490;1.08;14;35.7
495;1.03;13.5;43.7
500;1.13;14.8;33.4
505;1.08;13;42.9
510;0.809;13.4;4.97
515;1.32;5.98;4.25
520;1.14;13.7;13.1
525;1.1;12.2;12.5
530;1.12;11.6;16.8
535;0.902;13.9;30.3
540;1.26;15.3;17.4
545;0.973;16.9;26.3
550;1.08;16.3;25.1
555;0.902;13.6;8.87
560;1.03;5.3;25.4
565;1.07;13.1;30.6
570;1.02;12;36.5
575;0.949;12.5;40.2
580;1.08;15.3;40.8
585;0.961;12.5;36.6
590;1.08;15.1;27.8
595;1.04;15;40.6
600;1.17;13.2;44.2
