Tiempo [s];Cantidad de paquetes perdidos Servicio VoIP;Cantidad de paquetes perdidos Servicio VOD;Cantidad de paquetes perdidos Servicio FTP
0;0;0;0
1;13;0;0
2;17;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;0;1;0
16;0;4;0
17;0;6;0
18;0;5;0
19;0;1;0
20;0;2;0
21;0;0;0
22;0;0;0
23;0;0;0
24;0;0;0
25;0;2;0
26;1;1;0
27;3;1;0
28;2;2;0
29;0;0;0
30;0;0;0
31;1;1;0
32;0;0;0
33;0;1;0
34;0;0;0
35;0;1;0
36;0;0;0
37;0;2;0
38;0;1;0
39;0;0;0
40;0;1;0
41;0;0;0
42;0;1;0
43;0;3;0
44;0;0;0
45;0;0;0
46;0;1;0
47;0;2;0
48;0;3;0
49;0;1;0
50;0;0;0
51;0;3;0
52;0;0;0
53;0;1;0
54;0;0;0
55;0;1;0
56;0;0;0
57;0;1;0
58;0;1;0
59;0;1;0
60;0;1;0
61;0;3;0
62;0;1;0
63;0;1;0
64;0;0;0
65;0;2;0
66;0;2;0
67;1;2;0
68;0;2;0
69;0;0;0
70;0;0;0
71;0;1;0
72;0;1;0
73;0;2;0
74;0;0;0
75;0;0;0
76;2;0;0
77;0;1;0
78;0;0;0
79;0;1;0
80;0;0;0
81;0;0;0
82;0;0;0
83;0;2;0
84;0;2;0
85;0;2;0
86;0;1;0
87;0;2;0
88;0;0;0
89;0;2;0
90;0;1;0
91;0;1;0
92;0;5;0
93;0;0;0
94;0;2;0
95;3;1;0
96;5;1;0
97;0;0;0
98;0;2;0
99;0;0;0
100;0;2;0
101;0;0;0
102;0;0;0
103;0;4;0
104;6;0;0
105;0;0;0
106;0;2;0
107;0;0;0
108;0;1;0
109;0;0;0
110;0;2;0
111;0;4;0
112;0;6;0
113;0;1;0
114;0;1;0
115;0;0;0
116;0;0;0
117;0;2;0
118;0;3;0
119;0;4;0
120;0;4;0
121;0;0;0
122;0;2;0
123;0;0;0
124;4;6;0
125;0;1;0
126;0;1;0
127;0;0;0
128;0;1;0
129;2;0;0
130;5;1;0
131;4;0;0
132;0;1;0
133;0;1;0
134;0;0;0
135;0;0;0
136;0;2;0
137;0;0;0
138;0;0;0
139;0;2;0
140;0;8;0
141;0;0;3
142;0;4;2
143;0;1;0
144;0;0;1
145;0;9;11
146;0;16;24
147;2;15;10
148;2;7;1
149;0;1;1
150;0;1;4
