tiempo;voip;vod;ftp
0;23.6;19.4;15.5
5;21.5;21.1;21.2
10;23.2;18.7;15.1
15;20.9;16.6;16.8
20;18.7;18.3;22.2
25;20.2;11.9;20.0
30;21.8;25.8;17.9
35;19.6;15.4;15.7
40;17.1;20.9;17.3
45;14.8;18.7;14.8
50;20.9;20.4;24.7
55;18.8;18.3;22.9
60;24.7;19.7;16.6
65;26.2;17.3;22.0
70;15.7;18.9;19.5
75;17.3;16.2;21.5
80;22.5;17.8;14.8
85;16.0;15.6;16.4
90;21.4;17.2;14.1
95;15.0;14.9;15.7
100;16.7;20.7;17.3
105;18.4;18.4;19.0
110;20.0;20.1;16.8
115;21.5;17.8;18.2
120;15.3;15.2;19.8
125;21.1;16.9;21.2
130;22.7;14.6;14.8
135;20.0;20.3;20.7
140;21.7;22.2;10.3
145;23.5;20.0;19.9
150;17.1;17.6;21.5
155;18.7;19.2;11.0
160;20.3;20.7;20.7
165;21.6;18.2;18.1
170;19.1;19.7;11.9
175;20.7;21.3;13.4
180;22.3;22.8;19.2
185;16.1;16.2;21.0
190;21.8;21.8;18.5
195;19.2;19.1;12.1
200;28.7;20.6;21.8
205;22.1;18.1;19.2
210;19.6;19.5;20.7
215;21.1;13.1;14.2
220;18.7;14.4;19.7
225;16.2;24.1;17.3
230;21.9;21.9;19.0
235;23.6;19.6;16.7
240;21.1;21.2;22.4
245;14.4;14.6;15.7
250;16.3;20.2;17.3
255;13.8;13.9;14.9
260;19.1;15.2;20.4
265;16.5;20.8;17.9
270;22.1;14.7;19.9
275;20.2;20.4;17.6
280;21.8;21.9;15.1
285;19.3;15.5;20.7
290;17.0;16.9;18.3
295;22.5;18.6;19.9
300;20.5;12.2;21.5
305;18.1;17.7;23.2
310;19.4;15.3;16.6
315;21.2;21.1;14.3
320;14.8;14.7;23.6
325;20.4;19.9;9.1
330;14.2;21.7;10.7
335;23.6;15.1;24.2
340;16.9;20.8;13.6
345;18.5;18.3;15.1
350;16.0;19.8;20.9
355;21.9;21.6;18.6
360;19.5;23.3;20.3
365;17.3;21.0;17.5
370;22.7;14.4;15.3
375;16.3;20.1;17.0
380;22.0;17.7;14.1
385;19.6;23.5;15.5
390;17.1;17.2;21.1
395;19.0;18.4;18.8
400;20.6;20.0;20.5
405;18.2;17.7;18.1
410;23.7;19.6;19.8
415;21.4;33.3;17.4
420;23.0;18.5;15.2
425;24.7;16.1;12.8
430;18.3;18.0;18.4
435;19.8;19.7;19.9
440;17.5;17.2;17.5
445;19.1;18.9;19.2
450;20.9;20.6;16.9
455;18.4;18.6;18.5
460;20.1;20.2;19.7
465;21.8;13.5;17.4
470;23.0;19.3;15.3
475;20.8;17.3;17.6
480;19.2;15.4;23.4
485;21.1;21.0;13.2
490;18.7;18.9;19.0
495;24.3;16.6;16.7
500;18.1;13.8;14.6
505;11.8;19.6;20.2
510;21.3;17.4;18.5
515;23.4;15.2;16.2
520;20.7;20.8;14.0
525;22.2;18.6;20.0
530;24.0;16.5;18.0
535;17.8;22.2;15.8
540;23.7;19.9;13.6
545;17.5;17.6;19.6
550;19.1;15.4;17.4
555;16.7;21.3;15.4
560;22.2;10.9;13.3
565;19.8;16.6;19.2
570;29.4;14.4;16.9
575;14.8;12.2;14.7
580;24.7;18.0;20.3
585;18.5;15.6;18.6
590;20.1;21.4;16.4
595;21.6;19.0;14.5
600;15.1;16.8;20.1
