tiempo;voip;vod;ftp
0;11.8;9.7;7.75
5;10.75;10.55;10.6
10;11.6;9.35;7.55
15;10.45;8.3;8.4
20;9.35;9.15;11.1
25;10.1;5.95;10
30;10.9;12.9;8.95
35;9.8;7.7;7.85
40;8.55;10.45;8.65
45;7.4;9.35;7.4
50;10.45;10.2;12.35
55;9.4;9.15;11.45
60;12.35;9.85;8.3
65;13.1;8.65;11
70;7.85;9.45;9.75
75;8.65;8.1;10.75
80;11.25;8.9;7.4
85;8;7.8;8.2
90;10.7;8.6;7.05
95;7.5;7.45;7.85
100;8.35;10.35;8.65
105;9.2;9.2;9.5
110;10;10.05;8.4
115;10.75;8.9;9.1
120;7.65;7.6;9.9
125;10.55;8.45;10.6
130;11.35;7.3;7.4
135;10;10.15;10.35
140;10.85;11.1;5.15
145;11.75;10;9.95
150;8.55;8.8;10.75
155;9.35;9.6;5.5
160;10.15;10.35;10.35
165;10.8;9.1;9.05
170;9.55;9.85;5.95
175;10.35;10.65;6.7
180;11.15;11.4;9.6
185;8.05;8.1;10.5
190;10.9;10.9;9.25
195;9.6;9.55;6.05
200;14.35;10.3;10.9
205;11.05;9.05;9.6
210;9.8;9.75;10.35
215;10.55;6.55;7.1
220;9.35;7.2;9.85
225;8.1;12.05;8.65
230;10.95;10.95;9.5
235;11.8;9.8;8.35
240;10.55;10.6;11.2
245;7.2;7.3;7.85
250;8.15;10.1;8.65
255;6.9;6.95;7.45
260;9.55;7.6;10.2
265;8.25;10.4;8.95
270;11.05;7.35;9.95
275;10.1;10.2;8.8
280;10.9;10.95;7.55
285;9.65;7.75;10.35
290;8.5;8.45;9.15
295;11.25;9.3;9.95
300;10.25;6.1;10.75
305;9.05;8.85;11.6
310;9.7;7.65;8.3
315;10.6;10.55;7.15
320;7.4;7.35;11.8
325;10.2;9.95;4.55
330;7.1;10.85;5.35
335;11.8;7.55;12.1
340;8.45;10.4;6.8
345;9.25;9.15;7.55
350;8;9.9;10.45
355;10.95;10.8;9.3
360;9.75;11.65;10.15
365;8.65;10.5;8.75
370;11.35;7.2;7.65
375;8.15;10.05;8.5
380;11;8.85;7.05
385;9.8;11.75;7.75
390;8.55;8.6;10.55
395;9.5;9.2;9.4
400;10.3;10;10.25
405;9.1;8.85;9.05
410;11.85;9.8;9.9
415;10.7;16.65;8.7
420;11.5;9.25;7.6
425;12.35;8.05;6.4
430;9.15;9;9.2
435;9.9;9.85;9.95
440;8.75;8.6;8.75
445;9.55;9.45;9.6
450;10.45;10.3;8.45
455;9.2;9.3;9.25
460;10.05;10.1;9.85
465;10.9;6.75;8.7
470;11.5;9.65;7.65
475;10.4;8.65;8.8
480;9.6;7.7;11.7
485;10.55;10.5;6.6
490;9.35;9.45;9.5
495;12.15;8.3;8.35
500;9.05;6.9;7.3
505;5.9;9.8;10.1
510;10.65;8.7;9.25
515;11.7;7.6;8.1
520;10.35;10.4;7
525;11.1;9.3;10
530;12;8.25;9
535;8.9;11.1;7.9
540;11.85;9.95;6.8
545;8.75;8.8;9.8
550;9.55;7.7;8.7
555;8.35;10.65;7.7
560;11.1;5.45;6.65
565;9.9;8.3;9.6
570;14.7;7.2;8.45
575;7.4;6.1;7.35
580;12.35;9;10.15
585;9.25;7.8;9.3
590;10.05;10.7;8.2
595;10.8;9.5;7.25
600;7.55;8.4;10.05
