tiempo;ftp;vod;voip
0;5.48;5.95;0.468
5;3.68;3.90;0.703
10;1.05;2.26;0.703
15;1.18;1.92;0.937
20;5.06;1.97;0.703
25;3.75;1.15;0.937
30;5.54;1.30;1.20
35;3.41;2.72;0.703
40;5.04;2.86;0.468
45;4.66;3.08;0.703
50;3.75;1.27;0.468
55;3.30;3.12;0.703
60;6.10;1.46;0.937
65;5.89;6.62;0.703
70;5.71;6.57;0.703
75;8.42;8.85;0.937
80;6.94;6.64;0.703
85;6.62;6.08;0.703
90;5.19;7.88;0.703
95;4.92;5.60;0.937
100;7.51;6.51;0.937
105;6.00;6.59;0.703
110;8.52;6.83;0.703
115;6.41;4.98;0.703
120;6.74;5.80;0.936
125;5.86;5.73;1.20
130;5.52;4.98;0.703
135;5.18;5.57;0.703
140;5.53;4.43;0.703
145;4.83;7.67;0.703
150;7.75;6.39;0.468
155;6.39;4.35;1.20
160;5.91;7.42;0.937
165;7.05;5.66;0.937
170;7.41;3.80;0.703
175;6.87;5.56;0.937
180;5.35;4.75;0.703
185;4.17;4.00;0.234
190;5.85;5.57;0.468
195;4.69;7.94;1.20
200;4.58;5.73;0.703
205;6.11;6.63;0.703
210;6.68;4.70;0.234
215;5.30;5.06;0.937
220;5.04;7.51;0.937
225;7.79;5.73;1.20
230;6.01;6.63;0.703
235;5.88;6.99;0.937
240;5.73;6.09;0.937
245;5.72;4.87;0.468
250;5.62;5.73;0.937
255;6.33;6.75;0.937
260;6.91;5.06;0.937
265;3.72;6.51;0.468
270;5.03;6.14;0.703
275;6.50;5.80;0.937
280;5.80;6.03;0.468
285;5.77;5.96;0.703
290;5.78;5.30;0.703
295;3.88;4.77;0.703
300;5.99;5.13;0.937
305;4.00;4.24;0.703
310;4.59;5.48;0.703
315;7.27;5.00;0.937
320;7.43;4.95;1.20
325;6.48;6.50;0.703
330;6.39;6.96;0.234
335;4.76;7.14;0.234
340;6.60;4.52;0.937
345;6.53;4.60;0.703
350;6.04;4.35;1.20
355;6.50;6.78;0.703
360;7.59;9.30;0.468
365;6.94;6.62;0.703
370;6.52;6.77;0.703
375;7.11;4.33;0.937
380;6.02;6.98;0.937
385;8.39;6.04;1.20
390;5.33;6.02;0.703
395;5.97;5.54;0.937
400;5.28;4.00;0.937
405;5.94;5.63;0.703
410;8.37;6.07;0.937
415;5.63;4.45;0.702
420;4.91;6.08;0.468
425;5.63;4.58;0.937
430;6.45;5.54;0.468
435;4.98;6.17;0.703
440;6.04;5.40;0.937
445;4.32;6.08;0.703
450;6.19;5.81;0.703
455;5.57;5.59;0.703
460;5.20;6.82;0.468
465;3.65;5.62;0.937
470;3.32;6.43;0.703
475;4.10;8.45;1.20
480;4.75;5.86;0.938
485;4.41;6.50;0.703
490;5.42;3.19;0.703
495;5.61;7.06;0.468
500;5.59;6.68;0.937
505;5.25;4.18;0.937
510;5.12;5.66;0.703
515;5.78;6.73;0.937
520;6.19;6.58;0.703
525;6.09;6.82;0.703
530;5.11;4.78;0.703
535;6.67;7.25;0.703
540;3.68;7.92;0.703
545;6.24;6.65;0.703
550;6.61;6.11;1.20
555;5.96;5.01;0.702
560;6.46;5.22;0.703
565;5.65;6.78;0.468
570;6.79;4.37;0.937
575;5.27;8.55;0.938
580;6.06;6.63;0.703
585;5.50;5.77;0.703
590;5.54;5.85;0.703
595;7.04;5.80;0.468
600;10.3;7.19;0.00
