tiempo;voip;vod;ftp
0;1;4;10
1;2;15;8
2;0;14;6
3;0;8;5
4;0;9;8
5;1;11;3
6;2;3;2
7;1;3;7
8;0;5;2
9;0;6;5
10;3;9;3
11;0;5;9
12;0;5;9
13;8;2;7
14;0;4;12
15;0;5;6
16;2;5;6
17;0;10;5
18;2;8;6
19;1;10;6
20;0;10;4
21;1;6;8
22;2;7;6
23;0;8;6
24;2;10;8
25;2;6;6
26;1;7;6
27;0;6;5
28;0;8;9
29;3;7;5
30;1;7;9
31;2;5;4
32;1;6;6
33;0;9;3
34;1;5;6
35;0;4;9
36;2;8;6
37;2;5;7
38;0;4;5
39;3;5;7
40;2;9;6
41;0;9;8
42;1;6;1
43;1;7;2
44;1;4;0
45;1;9;2
46;1;4;0
47;1;7;1
48;0;3;1
49;1;0;3
50;3;2;1
51;0;1;0
52;1;2;2
53;1;3;2
54;0;2;4
55;4;1;0
56;1;2;2
57;0;0;1
58;1;3;2
59;1;1;1
60;1;4;3
61;2;1;4
62;0;2;2
63;1;0;0
64;1;1;0
65;0;1;0
66;3;0;3
67;0;2;1
68;3;5;1
69;0;1;1
70;2;1;2
71;2;1;1
72;0;0;0
73;1;0;4
74;0;1;3
75;1;3;0
76;0;1;0
77;1;0;1
78;1;0;1
79;1;3;0
80;1;1;1
81;1;2;0
82;0;0;1
83;1;1;1
84;0;0;2
85;1;0;1
86;0;2;1
87;0;1;1
88;1;2;2
89;2;0;0
90;0;0;1
91;4;2;1
92;0;4;3
93;1;3;1
94;2;2;0
95;0;1;5
96;1;1;2
97;1;1;0
98;1;2;1
99;0;1;1
100;2;1;2
101;0;1;3
102;0;2;1
103;0;1;3
104;1;1;1
105;0;0;0
106;0;4;3
107;1;1;2
108;1;1;0
109;1;1;2
110;1;0;0
111;1;2;2
112;1;2;2
113;2;3;2
114;1;0;2
115;2;2;0
116;0;1;1
117;1;1;1
118;0;1;2
119;0;2;2
120;6;1;0
121;0;3;3
122;3;1;0
123;0;1;2
124;2;1;0
125;1;1;2
126;1;2;0
127;2;2;1
128;1;1;1
129;0;1;2
130;1;2;0
131;1;0;0
132;0;0;3
133;0;0;1
134;2;3;1
135;0;1;3
136;0;1;1
137;4;1;0
138;1;1;1
139;1;1;1
140;0;1;1
141;0;3;0
142;0;2;1
143;2;0;1
144;0;1;2
145;0;1;0
146;1;1;3
147;1;0;0
148;0;1;0
149;1;1;4
150;0;0;2
151;4;2;0
152;1;5;1
153;2;0;1
154;0;0;1
155;1;2;2
156;0;1;1
157;2;1;1
158;0;1;1
159;1;2;2
160;2;1;0
161;2;1;2
162;1;3;2
163;1;1;0
164;0;0;1
165;1;3;2
166;1;1;0
167;0;2;2
168;0;2;1
169;3;1;1
170;1;1;0
171;1;1;1
172;1;0;0
173;2;0;2
174;0;1;0
175;1;0;0
176;3;1;1
177;0;1;2
178;3;1;0
179;2;0;0
180;2;2;1
181;0;0;0
182;1;1;3
183;0;0;1
184;0;0;3
185;1;1;1
186;0;2;1
187;0;1;1
188;5;0;3
189;0;4;0
190;0;1;1
191;0;1;0
192;0;2;2
193;0;1;1
194;0;0;1
195;3;1;0
196;0;0;1
197;4;1;1
198;0;2;0
199;1;2;2
200;1;0;1
201;0;1;1
202;0;1;0
203;5;0;2
204;0;1;0
205;3;3;0
206;0;1;1
207;1;1;0
208;1;1;1
209;1;0;0
210;0;0;1
211;2;1;2
212;1;2;2
213;1;1;2
214;1;0;0
215;0;0;0
216;2;0;2
217;0;2;0
218;1;1;0
219;0;2;0
220;0;1;1
221;3;1;0
222;1;1;2
223;0;0;2
224;1;2;1
225;0;0;3
226;2;2;0
227;3;0;1
228;0;2;2
229;1;0;1
230;0;2;0
231;1;1;2
232;0;0;1
233;1;1;2
234;1;2;1
235;0;2;1
236;1;1;0
237;0;1;0
238;4;2;1
239;2;0;2
240;0;3;1
241;1;3;0
242;1;0;1
243;1;0;0
244;1;2;1
245;0;0;1
246;4;0;1
247;0;1;0
248;0;1;1
249;0;2;0
250;1;1;3
251;0;1;2
252;3;0;2
253;2;0;0
254;0;0;2
255;0;2;0
256;3;3;3
257;1;0;1
258;2;1;0
259;1;2;3
260;2;1;0
261;1;1;2
262;2;1;1
263;0;1;2
264;1;1;1
265;2;3;1
266;1;1;1
267;0;3;1
268;4;2;1
269;0;1;1
270;1;1;2
271;0;1;2
272;3;4;0
273;0;2;2
274;1;3;1
275;2;1;3
276;0;1;4
277;4;1;0
278;0;1;1
279;2;3;0
280;2;3;1
281;1;1;4
282;0;2;1
283;1;1;1
284;1;1;0
285;0;1;2
286;0;0;0
287;1;2;1
288;2;4;1
289;0;1;0
290;1;2;2
291;0;2;1
292;2;0;0
293;0;0;1
294;2;0;1
295;0;1;1
296;1;1;0
297;2;0;1
298;1;1;3
299;1;1;1
300;0;2;1
301;0;1;0
302;2;2;0
303;1;2;2
304;0;1;1
305;3;1;4
306;1;1;2
307;2;1;0
308;1;2;2
309;0;0;1
310;2;1;2
311;0;1;0
312;0;0;2
313;3;2;3
314;1;0;0
315;0;1;2
316;1;1;2
317;0;1;1
318;2;1;1
319;0;2;1
320;2;0;0
321;0;1;4
322;1;2;1
323;0;1;2
324;3;0;0
325;0;2;0
326;1;1;3
327;0;4;3
328;1;1;0
329;0;3;0
330;1;0;2
331;0;0;2
332;3;0;0
333;0;1;2
334;0;1;0
335;0;1;1
336;0;1;1
337;1;0;0
338;2;1;1
339;1;4;2
340;2;0;3
341;1;2;2
342;2;2;0
343;1;0;1
344;0;1;0
345;0;3;0
346;1;1;1
347;1;1;0
348;2;0;1
349;1;1;4
350;2;1;2
351;1;2;2
352;1;0;1
353;0;1;3
354;1;0;3
355;1;1;1
356;1;1;0
357;0;3;1
358;3;2;2
359;1;3;0
360;1;2;1
361;1;2;1
362;1;0;1
363;2;0;2
364;1;1;2
365;1;0;3
366;0;1;2
367;1;2;1
368;2;0;0
369;0;1;2
370;3;0;0
371;1;1;0
372;1;1;2
373;3;1;0
374;0;2;1
375;1;2;3
376;1;0;1
377;2;1;2
378;0;1;3
379;0;1;0
380;1;1;4
381;0;3;1
382;1;0;1
383;1;2;1
384;1;2;2
385;0;1;1
386;0;3;3
387;1;2;2
388;2;1;1
389;2;3;1
390;1;2;1
391;1;0;1
392;0;1;0
393;3;1;1
394;1;2;4
395;0;3;1
396;2;0;2
397;1;1;2
398;0;4;1
399;0;2;0
400;1;0;1
401;0;2;1
402;2;0;2
403;1;1;2
404;1;1;1
405;0;0;0
406;3;0;2
407;2;0;2
408;0;4;1
409;1;2;1
410;1;1;1
411;1;2;1
412;0;3;2
413;0;1;3
414;3;1;1
415;2;1;1
416;1;1;1
417;0;1;0
418;0;3;2
419;2;1;1
420;0;3;1
421;3;2;3
422;1;0;2
423;0;0;1
424;0;1;0
425;0;3;1
426;0;1;1
427;1;3;2
428;1;0;2
429;1;1;2
430;0;2;2
431;2;1;0
432;0;2;2
433;1;1;1
434;3;2;1
435;0;0;1
436;0;3;2
437;1;1;1
438;0;1;2
439;0;0;1
440;3;2;0
441;0;2;2
442;0;3;1
443;1;1;1
444;0;1;2
445;0;0;0
446;1;2;1
447;1;1;2
448;2;2;1
449;1;2;0
450;2;0;1
451;3;1;0
452;0;2;1
453;1;1;2
454;0;2;1
455;0;1;0
456;0;2;0
457;2;3;2
458;1;0;2
459;1;2;1
460;2;0;1
461;0;1;0
462;1;1;0
463;0;2;2
464;0;1;0
465;6;1;1
466;0;0;0
467;1;3;1
468;0;0;1
469;1;3;3
470;0;2;2
471;1;1;0
472;0;0;5
473;1;0;0
474;2;2;1
475;0;2;3
476;0;2;0
477;1;0;1
478;0;1;1
479;3;1;1
480;1;1;1
481;1;0;2
482;0;2;0
483;3;0;1
484;4;4;2
485;0;1;2
486;0;0;0
487;1;0;2
488;1;3;3
489;2;1;2
490;2;0;2
