tiempo;voip;ftp;vod
0;0.51;15.3;11.2
5;0.511;4.90;7.60
10;1.05;5.71;6.00
15;0.511;6.47;5.05
20;0.00;7.25;5.15
25;1.05;7.67;4.79
30;0.511;8.63;7.08
35;0.00;6.23;6.80
40;1.05;7.79;7.54
45;1.05;6.82;7.07
50;0.511;6.86;5.86
55;1.05;5.99;7.27
60;1.05;6.41;6.23
65;0.511;6.54;6.12
70;1.05;8.43;6.85
75;1.05;6.16;3.07
80;0.511;3.24;6.81
85;0.00;6.48;6.53
90;1.05;8.03;6.94
95;0.511;5.28;6.44
100;1.05;6.73;6.17
105;0.511;6.07;6.94
110;0.511;6.14;6.70
115;1.05;7.12;5.16
120;0.511;6.96;8.00
125;0.511;4.98;6.12
130;0.511;7.84;4.74
135;0.511;7.46;6.24
140;0.511;6.98;5.75
145;0.00;5.31;6.51
150;1.05;6.66;4.49
155;0.511;4.71;6.21
160;0.511;6.22;6.64
165;1.05;6.58;7.17
170;0.00;6.59;6.82
175;1.05;6.62;6.54
180;0.511;5.29;4.09
185;1.05;2.35;5.78
190;0.511;4.08;7.45
195;1.57;5.44;6.64
200;0.00;7.16;4.71
205;0.511;6.23;7.01
210;1.05;7.43;7.11
215;1.05;8.15;5.03
220;1.05;7.25;7.57
225;1.05;6.73;4.75
230;1.57;5.95;7.30
235;1.05;6.23;8.08
240;0.511;8.03;5.75
245;0.00;6.70;5.65
250;0.00;7.24;8.23
255;1.05;5.41;4.46
260;0.00;7.16;6.37
265;1.05;6.53;6.18
270;1.05;8.36;6.21
275;0.511;6.38;6.83
280;0.511;6.20;6.01
285;1.05;4.04;5.91
290;1.05;5.90;3.15
295;1.05;7.29;6.44
300;0.00;5.96;4.54
305;0.511;5.19;5.35
310;0.00;7.32;7.21
315;1.05;5.27;8.02
320;1.05;5.34;6.44
325;0.511;6.67;7.15
330;0.511;5.22;4.80
335;0.511;7.42;7.82
340;1.05;7.08;6.20
345;1.05;7.38;10.3
350;0.00;5.34;5.97
355;0.511;7.69;6.89
360;0.511;7.26;6.54
365;1.05;6.72;8.41
370;0.511;3.79;6.00
375;1.05;5.42;6.32
380;0.00;4.88;9.98
385;0.511;5.28;5.26
390;1.05;6.49;7.15
395;1.05;5.80;4.74
400;1.05;5.01;6.18
405;1.05;6.47;5.84
410;0.00;10.3;4.86
415;1.05;8.63;5.61
420;1.05;6.35;7.97
425;1.05;7.38;5.19
430;1.05;9.03;8.34
435;0.511;6.17;7.32
440;1.05;5.59;6.53
445;0.511;6.91;7.43
450;0.512;6.27;7.11
455;0.511;6.52;3.98
460;0.00;6.45;5.78
465;1.05;5.13;7.76
470;0.511;5.99;5.33
475;1.05;5.60;5.99
480;0.511;7.16;6.23
485;0.511;5.62;4.54
490;0.00;9.02;4.14
495;1.05;6.52;5.04
500;0.511;7.07;7.19
505;1.05;6.70;4.10
510;0.511;5.04;7.35
515;0.511;5.33;5.85
520;0.512;7.90;6.54
525;1.05;6.94;5.42
530;0.511;5.63;4.77
535;0.511;6.86;5.02
540;0.00;6.49;5.34
545;0.511;5.92;6.07
550;0.511;7.29;4.88
555;0.00;6.95;5.84
560;1.05;6.83;7.07
565;0.511;8.25;4.53
570;0.511;7.45;6.17
575;1.05;4.99;7.79
580;0.00;8.21;6.44
585;0.00;8.57;4.60
590;1.05;6.16;4.51
595;1.05;7.69;8.52
600;0.00;5.83;7.46
